League,Case,Target,Model,MAE_test,MAE_train,MSE_test,MSE_train,RMSE_test,RMSE_train,R2_test,R2_train,MAPE_test,MAE_test_bp,RMSE_test_bp,R2_test_bp
LaLiga,ec1,Next_Gls,Ridge,1.503,1.378,6.084,5.332,2.467,2.309,0.349,0.594,0.76,1.804,2.681,0.457
LaLiga,ec1,Next_Gls,RandomForest,1.573,1.162,6.476,3.346,2.545,1.829,0.307,0.746,0.654,1.66,2.688,0.453
LaLiga,ec1,Next_Gls,GradientBoosting,1.571,1.142,6.582,3.151,2.565,1.775,0.295,0.76,0.656,1.66,2.646,0.471
LaLiga,ec1,Next_Gls,XGBoost,1.584,1.153,6.535,3.339,2.556,1.827,0.3,0.746,0.669,1.722,2.677,0.458
LaLiga,ec1,Next_Gls,MLP,1.533,1.346,6.255,5.06,2.501,2.249,0.33,0.615,0.793,1.711,2.601,0.489
LaLiga,case2,Next_Gls,LinearRegression,1.573,1.396,6.41,5.274,2.532,2.297,0.314,0.599,0.75,1.979,2.897,0.365
LaLiga,case2,Next_Gls,Ridge,1.541,1.407,6.209,5.325,2.492,2.308,0.335,0.595,0.71,1.918,2.821,0.398
LaLiga,case2,Next_Gls,RandomForest,1.543,1.138,6.234,3.198,2.497,1.788,0.333,0.757,0.664,1.66,2.575,0.499
LaLiga,case2,Next_Gls,GradientBoosting,1.614,0.797,7.043,1.481,2.654,1.217,0.246,0.887,0.676,1.66,2.745,0.43
LaLiga,case2,Next_Gls,XGBoost,1.503,1.077,5.943,3.12,2.438,1.766,0.364,0.763,0.6,1.619,2.583,0.496
LaLiga,case2,Next_Gls,MLP,1.609,1.398,6.332,5.102,2.516,2.259,0.322,0.612,0.782,1.948,2.83,0.394
LaLiga,case3,Next_Gls,LinearRegression,1.576,1.376,6.326,5.067,2.515,2.251,0.323,0.615,0.773,1.918,2.81,0.403
LaLiga,case3,Next_Gls,Ridge,1.543,1.372,6.239,5.183,2.498,2.277,0.332,0.606,0.756,1.835,2.721,0.44
LaLiga,case3,Next_Gls,RandomForest,1.535,1.131,6.139,3.135,2.478,1.771,0.343,0.762,0.665,1.639,2.567,0.502
LaLiga,case3,Next_Gls,GradientBoosting,1.595,0.781,6.851,1.391,2.617,1.179,0.266,0.894,0.682,1.68,2.669,0.461
LaLiga,case3,Next_Gls,XGBoost,1.549,0.971,6.315,2.293,2.513,1.514,0.324,0.826,0.64,1.701,2.61,0.485
LaLiga,case3,Next_Gls,MLP,1.611,1.442,6.307,5.326,2.511,2.308,0.325,0.595,0.789,1.969,2.805,0.405
SerieA,ec1,Next_Gls,LinearRegression,1.377,1.566,5.224,7.147,2.286,2.673,0.456,0.537,0.74,1.34,2.119,0.407
SerieA,ec1,Next_Gls,Ridge,1.366,1.57,5.137,7.18,2.266,2.68,0.465,0.535,0.731,1.33,2.09,0.423
SerieA,ec1,Next_Gls,RandomForest,1.363,1.341,5.303,4.529,2.303,2.128,0.448,0.707,0.716,1.245,2.119,0.407
SerieA,ec1,Next_Gls,GradientBoosting,1.385,1.192,5.932,3.562,2.436,1.887,0.383,0.769,0.696,1.226,2.176,0.375
SerieA,ec1,Next_Gls,XGBoost,1.301,1.423,5.164,5.841,2.272,2.417,0.463,0.622,0.594,1.179,1.974,0.486
SerieA,ec1,Next_Gls,MLP,1.366,1.553,5.016,7.215,2.24,2.686,0.478,0.533,0.651,1.321,1.967,0.489
SerieA,case2,Next_Gls,LinearRegression,1.363,1.569,4.943,6.986,2.223,2.643,0.486,0.547,0.685,1.236,1.993,0.476
SerieA,case2,Next_Gls,Ridge,1.393,1.579,5.093,7.017,2.257,2.649,0.47,0.545,0.688,1.283,2.042,0.449
SerieA,case2,Next_Gls,RandomForest,1.374,1.32,5.32,4.32,2.306,2.078,0.446,0.72,0.664,1.208,2.023,0.459
SerieA,case2,Next_Gls,GradientBoosting,1.366,1.307,5.486,4.217,2.342,2.054,0.429,0.727,0.648,1.236,2.035,0.453
SerieA,case2,Next_Gls,XGBoost,1.309,1.304,5.096,4.27,2.257,2.066,0.47,0.723,0.63,1.17,1.943,0.502
SerieA,case2,Next_Gls,MLP,1.459,1.526,5.464,6.417,2.338,2.533,0.431,0.584,0.724,1.462,2.259,0.326
SerieA,case3,Next_Gls,LinearRegression,1.393,1.561,5.219,6.924,2.284,2.631,0.457,0.551,0.715,1.292,2.191,0.366
SerieA,case3,Next_Gls,Ridge,1.396,1.583,5.139,6.997,2.267,2.645,0.465,0.547,0.689,1.264,2.06,0.44
SerieA,case3,Next_Gls,RandomForest,1.358,1.303,5.249,4.137,2.291,2.034,0.454,0.732,0.677,1.198,2.012,0.466
SerieA,case3,Next_Gls,GradientBoosting,1.369,1.279,5.719,3.871,2.391,1.967,0.405,0.749,0.635,1.245,2.115,0.41
SerieA,case3,Next_Gls,XGBoost,1.314,1.417,5.303,5.511,2.303,2.348,0.448,0.643,0.582,1.208,1.967,0.489
SerieA,case3,Next_Gls,MLP,1.508,1.66,5.623,7.29,2.371,2.7,0.415,0.528,0.694,1.462,2.157,0.386
